"","original_name","species_list_name"
"2799","Tilia platyphyllos","Tilia platyphyllos"
"2800","Castanea sativa","Castanea sativa"
"2801","Prunus - Species Unknown","Prunus Spp."
"2802","Robinia pseudoacacia","Robinia pseudoacacia"
"2803","Tilia x europea","Tilia x europea"
"2804","Nothofagus antartica","Nothofagus antarctica"
"2805","Chamaecyparis lawsoniana Ellwo","Chamaecyparis lawsoniana Ellwoodii"
"2806","Crataegus monogyna","Crataegus monogyna"
"2807","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"2808","Acer campestre","Acer campestre"
"2809","Prunus - Species Unknown","Prunus Spp."
"2810","Robinia pseudoacacia","Robinia pseudoacacia"
"2811","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"2812","Prunus Amanogawa","Prunus Amanogawa"
"2813","Acer campestre","Acer campestre"
"2814","Quercus robur","Quercus robur"
"2815","Fraxinus excelsior","Fraxinus excelsior"
"2816","Acer platanoides","Acer platanoides"
"2817","Acer pseudoplatanus","Acer pseudoplatanus"
"2818","Acer pseudoplatanus","Acer pseudoplatanus"
"2819","Fraxinus excelsior","Fraxinus excelsior"
"2820","Acer campestre","Acer campestre"
"2821","Laurus nobilis","Laurus nobilis"
"2823","Prunus pissardii","Prunus pissardii"
"2824","Tilia x europea","Tilia x europea"
"2825","Salix caprea","Salix caprea"
"2826","Acer platanoides cv","Acer platanoides Spp."
"2827","Acer pseudoplatanus","Acer pseudoplatanus"
"2828","Acer pseudoplatanus","Acer pseudoplatanus"
"2829","Fraxinus excelsior","Fraxinus excelsior"
"2830","Betula utilis","Betula utilis"
"2831","Sorbus aucuparia","Sorbus aucuparia"
"2832","Malus - Species Unknown","Malus Spp."
"2833","Aesculus hippocastanum","Aesculus hippocastanum"
"2834","Sorbus - Species Unknown","Sorbus Spp."
"2835","Prunus avium","Prunus avium"
"2836","Acer platanoides","Acer platanoides"
"2837","Acer platanoides","Acer platanoides"
"2838","Platanus x acerifolia","Platanus x acerifolia"
"2839","Tilia - Species Unknown","Tilia Spp."
"2840","Quercus petraea","Quercus petraea"
"2841","Betula pendula","Betula pendula"
"2842","Sorbus aucuparia","Sorbus aucuparia"
"2843","Thuja plicata Atrovirens","Thuja plicata Atrovirens"
"2844","Tilia x euchlora","Tilia x euchlora"
"2845","Acer platanoides","Acer platanoides"
"2846","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"2847","Prunus avium","Prunus avium"
"2848","Acer pseudoplatanus","Acer pseudoplatanus"
"2850","Platanus x acerifolia","Platanus x acerifolia"
"2851","Carpinus betulus","Carpinus betulus"
"2852","Acer pseudoplatanus","Acer pseudoplatanus"
"2853","Prunus cerasifera Pissardii","Prunus cerasifera Pissardii"
"2854","Salix - Species Unknown","Salix Spp."
"2855","Malus - Species Unknown","Malus Spp."
"2856","Acer campestre","Acer campestre"
"2857","Tilia - Species Unknown","Tilia Spp."
"2858","Pinus - Unknown Species","Pinus Spp."
"2859","Prunus padus","Prunus padus"
"2860","Crataegus monogyna 'Stricta'","Crataegus monogyna Stricta"
"2861","Acer negundo","Acer negundo"
"2862","Platanus x acerifolia","Platanus x acerifolia"
"2863","Fraxinus excelsior","Fraxinus excelsior"
"2864","Pyrus calleryana Chanticleer","Pyrus calleryana Chanticleer"
"2865","Platanus x acerifolia","Platanus x acerifolia"
"2866","Acer pseudoplatanus","Acer pseudoplatanus"
"2867","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"2868","Fraxinus excelsior","Fraxinus excelsior"
"2869","Tilia - Species Unknown","Tilia Spp."
"2870","Fraxinus excelsior","Fraxinus excelsior"
"2871","Taxus baccata Fastigiata","Taxus baccata Fastigiata"
"2872","Sorbus aucuparia","Sorbus aucuparia"
"2873","Acer pseudoplatanus","Acer pseudoplatanus"
"2874","Carpinus betulus Fastigiata","Carpinus betulus Fastigiata"
"2875","Acer platanoides","Acer platanoides"
"2876","Quercus robur","Quercus robur"
"2877","Acer platanoides","Acer platanoides"
"2878","Tilia cordata","Tilia cordata"
"2879","Betula pendula","Betula pendula"
"2880","Tilia cordata","Tilia cordata"
"2881","Cedrus libani","Cedrus libani"
"2882","Acer platanoides","Acer platanoides"
"2883","Betula pendula","Betula pendula"
"2884","Fraxinus excelsior Pendula","Fraxinus excelsior Pendula"
"2885","Populus nigra Italica","Populus nigra Italica"
"2886","Acer platanoides","Acer platanoides"
"2887","Malus Golden Hornet","Malus Golden Delicious"
"2888","Prunus avium","Prunus avium"
"2889","ZZ Tree stump","Dead stump"
"2890","Taxus baccata","Taxus baccata"
"2891","Carpinus betulus","Carpinus betulus"
"2892","Acer saccharinum","Acer saccharinum"
"2893","Fagus sylvatica","Fagus sylvatica"
"2894","Fraxinus excelsior","Fraxinus excelsior"
"2895","Corylus avellana","Corylus avellana"
"2896","Acer pseudoplatanus","Acer pseudoplatanus"
"2897","Ilex aquifolium","Ilex aquifolium"
"2898","Acer pseudoplatanus","Acer pseudoplatanus"
"2899","Chamaecyparis lawsoniana cv","Chamaecyparis lawsoniana Spp."
"2900","Aesculus hippocastanum","Aesculus hippocastanum"
"2901","Acer pseudoplatanus","Acer pseudoplatanus"
"2902","Salix babylonica","Salix babylonica"
"2903","Tilia cordata","Tilia cordata"
"2904","Sorbus aucuparia","Sorbus aucuparia"
"2905","Tilia - Species Unknown","Tilia Spp."
