"","original_name","species_list_name"
"25512","Mixed Species","NA NA"
"25521","X Cupressocyparis leylandii","NA NA"
"25539","Mixed Species","NA NA"
"25557","Ilex aquifolium Aureomarginata","Ilex aquifolium NA"
"25575","X Cupressocyparis leylandii","NA NA"
"25613","X Cupressocyparis l. Castlewel","NA NA"
"25623","X Cupressocyparis leylandii","NA NA"
"25628","No Code Allocated","NA NA"
"25630","No Code Allocated","NA NA"
"25724","Mixed Species Group","NA NA"
"25881","X Cupressocyparis leylandii","NA NA"
"25923","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"25960","Unknown species - Broadleaf","NA NA"
"25963","Mixed Species Group","NA NA"
"25977","Mixed Species","NA NA"
"25998","No Code Allocated","NA NA"
"25999","No Code Allocated","NA NA"
"26014","Betula pendula Edinburgh","Betula pendula NA"
"26075","X Cupressocyparis leylandii","NA NA"
"26112","Cordyline australis","Cordyline NA"
"26182","Mixed Species Group","NA NA"
"26222","No Code Allocated","NA NA"
"26286","No Code Allocated","NA NA"
"26482","Salix alba Britzensis","Salix alba NA"
"26544","No Code Allocated","NA NA"
"26657","No Code Allocated","NA NA"
"26670","Chitalpa taschkentensis Sum Ba","NA NA"
"26693","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"26766","Cordyline australis","Cordyline NA"
"26807","Mixed Species","NA NA"
"26843","Mixed Species","NA NA"
"26954","Mixed Species","NA NA"
"26961","Prunus 'Accolade'","Prunus NA"
"26989","Malus yunnanensis veitchii","Malus yunnanensis NA"
"26990","Prunus japonica cv","Prunus NA"
"27141","X Cupressocyparis leylandii","NA NA"
"27218","Mixed Species","NA NA"
"27223","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"27300","X Cupressocyparis leylandii","NA NA"
"27324","X Cupressocyparis l. Castlewel","NA NA"
"27329","Sorbus aucuparia 'Streetwise'","Sorbus aucuparia NA"
"27337","Thuja orientalis","Thuja NA"
"27352","X Cupressocyparis leylandii","NA NA"
"27354","No Code Allocated","NA NA"
"27381","Mixed Species Group","NA NA"
"27382","X Cupressocyparis leylandii","NA NA"
"27470","No Code Allocated","NA NA"
"27472","No Code Allocated","NA NA"
